publishedAt,title,artist,rating,genres
2010-05-17T17:33:46Z,Party With Children,Ratatat,8,
2010-05-18T16:41:59Z,Brothers,The Black Keys,7,
2010-05-19T16:38:02Z,Treats,Sleigh Bells,3,
2010-05-20T19:50:33Z,Hippies,Harlem,7,
2010-05-25T15:52:57Z,Maniac Meat,Tobacco,7,
2010-05-26T15:40:40Z,Portal of Sorrow,Xasthur,4,
2010-05-28T15:18:19Z,LP4,Ratatat,8,
2010-05-31T17:50:08Z,OJ Simpson,Guilty Simpson,6,
2010-06-01T15:44:19Z,Innerspeaker,Tame Impala,6,
2010-06-02T16:02:31Z,The Bride Screamed Murder,Melvins,5,
2010-06-03T17:27:23Z,Fever,Sleepy Sun,7,
2010-06-06T21:13:01Z,Pigeons,Here We Go Magic,7,
2010-06-07T20:17:16Z,Before Today,Ariel Pink's Haunted Graffiti,8,
2010-06-08T21:57:58Z,Wild Smile,Suckers,7,
2010-06-10T13:56:16Z,Self-Titled,The Drums,8,
2010-06-13T03:16:35Z,Total Life Forever,Foals,4,
2010-06-16T17:41:54Z,Becoming A Jackal,Villagers,6,
2010-06-17T19:39:30Z,Clinging To A Scheme,The Radio Dept.,8,
2010-06-17T21:46:42Z,Something For Everybody,Devo,6,
2010-06-19T19:38:52Z,Sex Dreams and Denim Jeans,Uffie,2,
2010-06-22T18:06:13Z,The ArchAndroid,Janelle Monáe,8,
2010-06-23T17:36:05Z,Homeland,Laurie Anderson,8,
2010-06-26T19:02:25Z,Does It Look Like I'm Here?,Emeralds,6,
2010-06-28T15:07:03Z,Cloud Cuckooland,Various Artists,7,
2010-06-29T16:59:30Z,Expo 86,Wolf Parade,6,
2010-06-30T17:21:53Z,How I Got Over,The Roots,8,
2010-07-01T16:41:57Z,King of the Beach,Wavves,8,
2010-07-05T18:02:47Z,The People's Record,Club 8,5,
2010-07-06T17:27:35Z,Sir Lucious Left Foot: The Son of Chico Dusty,Big Boi,6,
2010-07-07T15:02:38Z,Desert Fires,Noveller,7,
2010-07-11T17:49:01Z,Urgency,Superhumanoids,8,
2010-07-13T18:01:33Z,Mount Wittenberg Orca,Dirty Projectors and Bjork,8,
2010-07-15T15:18:57Z,Maya (/\/\ /\ Y /\),MIA,5,
2010-07-19T15:41:28Z,The Way Out,The Books,9,
2010-07-21T18:05:50Z,Cerulean,Baths,8,
2010-07-25T19:25:31Z,Paramatma,Mono/Poly,6,
2010-07-26T15:54:20Z,Crazy For You,Best Coast,5,
2010-07-27T16:24:06Z,Gemini,Wild Nothing,7,
2010-07-29T17:48:46Z,The Suburbs,Arcade Fire,8,
2010-08-02T15:13:55Z,Rohnert Park,Ceremony,8,
2010-08-05T22:28:40Z,Self-Titled,Daughters,8,
2010-08-10T21:06:17Z,The Budos Band III,The Budos Band,5,
2010-08-12T16:49:42Z,Transit Transit,Autolux,6,
2010-08-13T16:34:03Z,Afro-Beat Airways,Various Artists,8,
2010-08-16T16:43:53Z,Summit,Thou,7,
2010-08-17T18:39:04Z,The Final Frontier,Iron Maiden,6,
2010-08-18T16:22:07Z,Four More Years,Teen Daze,7,
2010-08-24T17:54:43Z,All Delighted People,Sufjan Stevens,8,
2010-08-26T17:28:51Z,Treasure State,Matmos and So Percussion,6,
2010-08-29T18:47:37Z,Surfing the Void,Klaxons,4,
2010-08-30T15:35:56Z,Special Moves,Mogwai,8,
2010-08-31T16:27:53Z,Memphis,Magic Kids,8,
2010-09-02T14:41:34Z,Self-Titled,Interpol,5,
2010-09-05T19:02:11Z,Illumination,Miami Horror,7,
2010-09-07T00:01:36Z,Lawless Darkness,Watain,6,
2010-09-07T18:59:39Z,Patagonian Rats,Tera Melos,5,
2010-09-08T16:19:33Z,Hurley,Weezer,7,
2010-09-09T17:48:59Z,False Priest,of Montreal,5,
2010-09-12T19:06:02Z,Penny Sparkle,Blonde Redhead,8,
2010-09-13T17:40:43Z,Grinderman 2,Grinderman,7,
2010-09-14T18:51:55Z,Lisbon,The Walkmen,5,
2010-09-15T17:10:21Z,Business Casual,Chromeo,9,
2010-09-20T04:23:38Z,In Evening Air,Future Islands,7,
2010-09-20T16:13:39Z,Album of the Year,Black Milk,4,
2010-09-21T18:12:13Z,Wilderness Heart,Black Mountain,6,
2010-09-22T15:42:19Z,Pattern+Grid World,Flying Lotus,8,
2010-09-23T17:18:22Z,My Father Will Guide Me Up a Rope to the Sky,Swans,6,
2010-09-24T19:53:14Z,Halcyon Digest,Deerhunter,8,
2010-09-27T05:29:46Z,Unsilent Death,Nails,9,
2010-09-27T17:36:58Z,Everything In Between,No Age,6,
2010-09-28T18:34:22Z,Le Noise,Neil Young,5,
2010-09-29T17:45:29Z,Public Strain,Women,9,
2010-09-30T17:02:00Z,King Night,Salem,2,
2010-10-03T19:19:20Z,Sometimes the Blues Is Just a Passing Bird,The Tallest Man On Earth,8,
2010-10-04T18:30:43Z,Crush,Abe Vigoda,4,
2010-10-05T17:40:23Z,Forget,Twin Shadow,8,
2010-10-07T15:55:33Z,Record Collection,Mark Ronson & The Business Intl.,5,
2010-10-10T19:36:19Z,The Age of Adz,Sufjan Stevens,6,
2010-10-11T16:29:48Z,Belle and Sebastian Write About Love,Belle and Sebastian,6,
2010-10-12T16:07:26Z,Play It Strange,The Fresh & Onlys,4,
2010-10-13T16:50:49Z,Holkham Drones,Luke Abbott,8,
2010-10-14T18:15:07Z,Epic,Sharon Van Etten,7,
2010-10-17T19:50:32Z,Down There,Avey Tare,5,
2010-10-18T18:07:44Z,Death Gate,The Gaslamp Killer,7,
2010-10-19T17:03:38Z,Come Around Sundown,Kings of Leon,4,
2010-10-20T20:29:14Z,Face Tat,Zach Hill,5,
2010-10-24T16:44:11Z,Black City,Matthew Dear,7,
2010-10-25T20:12:09Z,The Fool,Warpaint,6,
2010-10-26T16:10:31Z,Special Affections,Diamond Rings,8,
2010-10-27T18:39:24Z,d'Demonstrator,Squarepusher Presents Shobaleader One,5,
2010-10-28T18:40:58Z,Satan Worshipping Doom,Bongripper,8,
2010-10-31T16:07:56Z,Love Remains,How To Dress Well,4,
2010-11-01T17:27:39Z,Black Masses,Electric Wizard,6,
2010-11-02T19:31:23Z,Small Craft On A Milk Sea,Brian Eno,8,
2010-11-03T19:31:28Z,"Shut Up, Dude / Sit Down, Man",Das Racist,6,
2010-11-04T19:58:02Z,Man on the Moon II: The Legend of Mr. Rager,Kid Cudi,6,
2010-11-07T05:26:47Z,Lucky Shiner,Gold Panda,7,
2010-11-08T19:56:25Z,The Lady Killer,Cee Lo Green,7,
2010-11-10T16:38:57Z,Sports,Weekend,8,
2010-11-12T22:06:27Z,Ardour,Teebs,6,
2010-11-16T21:25:41Z,My Beautiful Dark Twisted Fantasy,Kanye West,6,
2010-11-17T18:56:11Z,Marrow of the Spirit,Agalloch,8,
2010-11-18T16:43:07Z,All Day,Girl Talk,8,
2010-11-23T16:33:21Z,Broken Dreams Club,Girls,5,
2010-11-25T19:53:14Z,Ring,Glasser,8,
2010-11-27T20:13:24Z,Pyramid of the Sun,Maserati,7,
2010-11-29T18:45:55Z,First Four,Off!,8,
2010-12-03T01:34:33Z,Bastard,"Tyler, The Creator",7,
2010-12-05T18:59:18Z,777 Volume One,Tonetta,6,
2010-12-06T19:49:57Z,Scary Monsters and Nice Sprites,Skrillex,7,
2010-12-07T21:28:47Z,Shit Computer,Kids & Explosions,8,
2010-12-08T19:43:54Z,Self-Titled,Anika,3,
2010-12-09T19:40:17Z,Senior,Röyksopp,5,
2010-12-20T18:21:05Z,Rising Sun,The Souljazz Orchestra,8,
2010-12-21T19:50:09Z,Apollo Kids,Ghostface Killah,8,
2010-12-27T17:12:50Z,Dark Country Magic,Big Blood,7,
2010-12-28T16:12:09Z,The Fall,Gorillaz,5,
2010-12-31T01:23:50Z,TSOL,Shad,6,
2011-01-03T18:21:00Z,ViCKi LEEKX,M.I.A.,6,
2011-01-05T16:21:10Z,Kills,jj,3,
2011-01-06T19:07:53Z,Self-Titled,All Pigs Must DIe,7,
2011-01-09T17:03:15Z,Showroom of Compassion,Cake,7,
2011-01-10T18:26:28Z,Red Barked Tree,Wire,5,
2011-01-11T18:56:41Z,Valhalla Dancehall,British Sea Power,8,
2011-01-13T13:30:25Z,"Thank You, Happy Birthday",Cage the Elephant,5,
2011-01-15T19:57:29Z,Opus Eponymous,Ghost,8,
2011-01-17T18:19:04Z,After School Special,A-1,7,
2011-01-18T21:50:43Z,Dye It Blonde,Smith Westerns,7,
2011-01-20T16:43:46Z,Ritual,White Lies,4,
2011-01-21T19:01:06Z,Unlearn,Fergus & Geronimo,8,
2011-01-25T19:48:29Z,Kaputt,Destroyer,9,
2011-01-26T20:47:37Z,The King Is Dead,The Decemberists,4,
2011-01-27T22:27:29Z,Self-Titled,Kvelertak,8,
2011-01-31T22:03:16Z,Native Speaker,Braids,7,
2011-02-03T13:35:27Z,White Wilderness,John Vanderslice,6,
2011-02-04T15:10:16Z,Elephants at the Door,Dumbo Gets Mad,8,
2011-02-07T19:02:47Z,"Angels of Darkness, Demons of Light I",Earth,7,
2011-02-08T14:11:14Z,Zonoscope,Cut Copy,5,
2011-02-09T14:15:05Z,James Blake,James Blake,7,
2011-02-11T13:37:28Z,Self-Titled 7'',Natural Child,8,
2011-02-15T13:50:53Z,"Hardcore Will Never Die, but You Will",Mogwai,8,
2011-02-16T15:25:34Z,Angels Exodus,Lil B,3,
2011-02-17T13:53:25Z,V,Vreid,6,
2011-02-18T14:18:08Z,Space Is Only Noise,Nicolas Jaar,8,
2011-02-20T19:06:36Z,The King of Limbs,Radiohead,6,
2011-02-21T20:56:33Z,New History Warfare Vol. 2: Judges,Colin Stetson,8,
2011-02-22T15:45:28Z,Underneath the Pine,Toro Y Moi,6,
2011-02-24T13:57:56Z,Let England Shake,PJ Harvey,8,
2011-02-25T13:57:04Z,Higher Learning Vol. 2,Fashawn,6,
2011-02-27T19:26:17Z,Self-TItled,Yuck,5,
2011-02-28T18:52:48Z,Mosaik,Siriusmo,7,
2011-03-01T19:23:58Z,All Eternals Deck,The Mountain Goats,8,
2011-03-03T13:40:11Z,"Different Gear, Still Speeding",Beady Eye,3,
2011-03-04T15:35:38Z,Jason...The Dragon,Weedeater,7,
2011-03-06T19:40:15Z,"Ravedeath, 1972",Tim Hecker,8,
2011-03-07T20:02:00Z,Lasers,Lupe Fiasco,3,
2011-03-08T19:16:18Z,Shaolin vs. Wu-Tang,Raekwon,5,
2011-03-10T15:46:36Z,Fallen,Burzum,6,
2011-03-14T15:01:10Z,R.E.K.S.,Reks,8,
2011-03-24T07:14:34Z,Angles,The Strokes,7,
2011-03-26T20:42:01Z,Belong,The Pains of Being Pure at Heart,8,
2011-03-28T05:32:04Z,Idle Labor,Craft Spells,8,
2011-03-30T07:16:43Z,Mind Bokeh,Bibio,5,
2011-03-31T10:18:00Z,Returnof4eva,Big K.R.I.T.,9,
2011-04-05T04:25:48Z,Darker Handcraft,Trap Them,7,
2011-04-06T07:22:24Z,Tomboy,Panda Bear,5,
2011-04-07T10:38:03Z,Holy Ghost!,Holy Ghost!,8,
2011-04-08T07:16:02Z,What Did You Expect From the Vaccines?,The Vaccines,6,
2011-04-10T10:21:44Z,Creep On Creepin' On,Timber Timbre,8,
2011-04-12T09:52:12Z,Nine Types of Light,TV on the Radio,6,
2011-04-13T09:25:08Z,House of Balloons,The Weeknd,3,
2011-04-14T09:54:31Z,In Love With Oblivion,Crystal Stilts,8,
2011-04-18T09:47:44Z,The English Riviera,Metronomy,7,
2011-04-19T08:58:49Z,Wasting Light,Foo Fighters,6,
2011-04-20T06:59:56Z,Cursed,Rotten Sound,5,
2011-04-20T08:10:28Z,Dirge,Wormrot,8,
2011-04-21T10:34:22Z,W H O K I L L,tUnE-yArDs,7,
2011-04-22T09:50:24Z,Blood Pressures,The Kills,4,
2011-04-25T09:19:02Z,Apocalypse,Bill Callahan,6,
2011-04-26T08:11:53Z,Oneirology,CunninLynguists,8,
2011-04-27T10:37:47Z,Hot Sauce Committee Part Two,Beastie Boys,9,
2011-04-28T09:29:42Z,"Take Care, Take Care, Take Care",Explosions In the Sky,5,
2011-05-02T09:52:13Z,Helplessness Blues,Fleet Foxes,9,
2011-05-04T08:50:33Z,Burst Apart,The Antlers,4,
2011-05-05T09:14:24Z,Exmilitary,Death Grips,8,
2011-05-06T12:37:11Z,Goblin,"Tyler, The Creator",4,
2011-05-10T08:49:32Z,Smother,Wild Beasts,7,
2011-05-12T11:20:06Z,Aesthethica,Liturgy,8,
2011-05-13T08:27:16Z,Simple Math,Manchester Orchestra,4,
2011-05-15T10:19:44Z,Ascension,Jesu,5,
2011-05-16T10:24:09Z,ISAM,Amon Tobin,7,
2011-05-18T08:43:54Z,Homo,The UV Race,8,
2011-05-19T09:32:10Z,Tunnel Blanket,This Will Destroy You,6,
2011-05-20T10:14:16Z,Self-Titled,Balkans,7,
2011-05-24T10:43:43Z,Elmatic,Elzhi,8,
2011-05-26T11:35:06Z,Heavy Rocks / Attention Please,Boris,6,
2011-05-27T09:03:07Z,Blue Suicide,Coma Cinema,7,
2011-05-30T09:01:48Z,Totem 3,Master Musicians of Bukkake,7,
2011-05-31T07:57:22Z,Circuital,My Morning Jacket,5,
2011-06-01T19:29:55Z,Lover's Holiday,Theophilus London,8,
2011-06-02T10:09:15Z,Codes and Keys,Death Cab for Cutie,7,
2011-06-03T09:38:06Z,Time Is Up,Havok,8,
2011-06-04T20:46:33Z,W,Planningtorock,2,
2011-06-06T08:41:17Z,Sun and Shade,Woods,5,
2011-06-07T09:07:40Z,Suck It and See,Arctic Monkeys,5,
2011-06-08T09:37:04Z,Snake Oil,Snake Oil,7,
2011-06-09T11:52:14Z,Gloss Drop,Battles,9,
2011-06-13T09:08:21Z,David Comes to Life,Fucked Up,5,
2011-06-14T08:09:11Z,Self-TItled,Poor Lily,8,
2011-06-15T21:43:40Z,Go Tell Fire To The Mountain,WU LYF,5,
2011-06-16T19:32:52Z,Living With the Ancients,Blood Ceremony,7,
2011-06-17T07:40:42Z,Hell: The Sequel,Bad Meets Evil,6,
2011-06-21T09:00:18Z,Bon Iver,Bon Iver,6,
2011-06-23T11:15:43Z,New Brigade,Iceage,8,
2011-06-24T17:01:18Z,SBTRKT,SBTRKT,8,
2011-06-26T09:46:46Z,Cults,Cults,4,
2011-06-28T10:23:09Z,Black Up,Shabazz Palaces,8,hip hop
2011-07-01T09:13:22Z,Sam Baker's Album,Samiyam,5,
2011-07-05T09:37:32Z,Strange Moosic,Herman Dune,7,singer-songwriter;folk;indie folk
2011-07-06T10:23:38Z,The Destroyers of All,Ulcerate,7,death metal;technical death metal;sludge metal
2011-07-10T19:40:21Z,Section.80,Kendrick Lamar,8,hip hop
2011-07-12T09:48:26Z,Within and Without,Washed Out,6,
2011-07-13T09:39:14Z,Skying,The Horrors,7,post-punk;rock
2011-07-17T20:04:14Z,Escape Velocity,Zombi,8,space rock;progressive rock;electronic
2011-07-18T17:50:19Z,Parting the Sea Between Brightness and Me,Touche Amore,7,screamo;post-hardcore;emocore
2011-07-19T08:10:59Z,When Fish Ride Bicycles,The Cool Kids,4,hip hop;pop rap
2011-07-20T08:07:54Z,Conjure and Command,Toxic Holocaust,8,thrash metal;crossover;thrash punk
2011-07-21T07:51:24Z,In the Mountain In the Cloud,Portugal. The Man,6,rock;pop;psych rock;glam rock;baroque
2011-07-25T09:17:12Z,Join Us,They Might Be Giants,5,rock;pop;alternative rock
2011-07-27T08:55:14Z,Ritual Union,Little Dragon,8,
2011-07-28T10:24:43Z,BlackenedWhite,MellowHype,6,hip hop
2011-08-01T08:59:09Z,Self-Titled,Unknown Mortal Orchestra,5,indie pop;psych pop;neo psych;garage rock
2011-08-02T09:54:57Z,Room(s),Machinedrum,6,future garage;dubstep;electronica
2011-08-03T08:43:28Z,Satin Panthers,Hudson Mohawke,7,electronic;beat music;wonky
2011-08-08T08:46:08Z,The Rip Tide,Beirut,6,indie pop;balkan brass;folk
2011-08-09T10:38:23Z,Watch the Throne,Kanye West & Jay-Z,5,hip hop;pop rap
2011-08-10T11:33:46Z,Coin Coin Chapter One: Gens de Couleur Libres,Matana Roberts,8,jazz;free jazz;experimental music;avant-garde
2011-08-11T07:56:21Z,Cerebral Ballzy,Cerebral Ballzy,3,punk;hardcore punk;skate punk;crossover thrash
2011-08-15T08:39:18Z,Pressure & Time,Rival Sons,7,hard rock;blues rock
2011-08-18T09:48:54Z,Ἀποκάλυψις (Apocalypse / Apokalypsis),Chelsea Wolfe,8,rock;experimental;gothic rock;ethereal wave
2011-08-19T09:40:44Z,Slave Ambient,The War On Drugs,6,
2011-08-21T10:07:55Z,93 Million Miles,Africa Hitech,8,dubstep;electronic;juke;techno;african electronica
2011-08-23T09:58:12Z,You Are All I See,Active Child,6,dream pop;art pop;r&b
2011-08-24T11:38:59Z,XXX,Danny Brown,8,
2011-08-25T10:46:59Z,Honkey Kong,Apathy,7,
2011-08-29T11:38:36Z,Giles Corey,Giles Corey,8,singer-songwriter;folk;shoegaze;noise;experimental;drone
2011-08-30T13:33:09Z,I'm With You,Red Hot Chili Peppers,5,rock;alternative rock
2011-08-31T17:02:38Z,Tha Carter IV,Lil Wayne,3,hip hop;pop rap;gangsta rap;southern hip hop
2011-09-01T20:26:41Z,Tripper,Hella,6,math rock;noise rock;experimental rock;progressive
2011-09-02T17:17:58Z,Bad Vibes,Shlohmo,7,glitch hop;beat music;instrumental;electronica;wonky
2011-09-07T12:38:52Z,"Father, Son, Holy Ghost",Girls,7,rock;pop;hard rock;chamber pop;indie rock
2011-09-09T05:56:36Z,The Golden Age of Apocalypse,Thundercat,8,
2011-09-09T22:02:02Z,Leave Home,The Men,6,noise rock;post-punk;punk;experimental
2011-09-12T12:53:26Z,Celestial Lineage,Wolves In the Throne Room,6,black metal;atmospheric black metal;blackgaze
2011-09-13T22:35:28Z,Strange Mercy,St. Vincent,8,art pop;experimental pop
2011-09-20T13:49:11Z,Relax,Das Racist,6,hip hop
2011-09-21T13:21:46Z,Self-Titled,Veronica Falls,8,twee pop;indie rock;c86;indie popd
2011-09-22T17:30:22Z,Knife Man,Andrew Jackson Jihad,8,folk punk;punk rock;indie rock
2011-09-26T06:52:28Z,Heritage,Opeth,5,progressive rock
2011-09-27T09:03:43Z,Self-Titled,Wild Flag,7,post-punk;indie rock
2011-09-28T23:28:10Z,The Hunter,Mastodon,5,sludge metal;progressive metal
2011-09-30T01:46:01Z,BBNG,BADBADNOTGOOD,8,instrumental hip hop;jazz;post-bop
2011-09-30T20:12:25Z,Cole World: The Sideline Story,J. Cole,6,hip hop;hardcore hip hop;pop rap. socially conscious hip hop
2011-10-06T01:41:16Z,The Whole Love,Wilco,7,"alt-country;indie rock;power pop,"
2011-10-06T23:12:11Z,Denton After Sunset,Teenage Cool Kids,1,indie;post-punk;alt-country;noise rock
2011-10-10T22:14:49Z,Wildlife,La Dispute,1,post-hardcore;punk;emocorewhatever
2011-10-11T17:48:05Z,Enough Thunder,James Blake,5,art pop;future garage;electronic
2011-10-12T18:22:42Z,Metals,Feist,4,art pop;singer-songwriter;baroque pop
2011-10-14T04:10:38Z,Glass Swords,Rustie,1,wonky;purple sound;dubstep
2011-10-17T14:07:55Z,Rules,Civil Civic,1,rock;electronic;post-punk;instrumental
2011-10-20T03:29:08Z,Abzu,Absu,1,black metal;thrash metal
2011-10-20T23:24:17Z,Severant,Kuedo,1,juke;footwork;progressive synth;electronic
2011-10-23T16:34:34Z,"Hurry Up, We're Dreaming",M83,4,synth pop;shoegaze;dream pop;indie pop
2011-10-25T23:28:49Z,Bad As Me,Tom Waits,7,singer-songwriter;blues;jazz;experimental
2011-10-26T22:15:09Z,Looping State of Mind,The Field,7,minimal techno;ambient techno
2011-10-27T14:42:39Z,"Audio, Video, Disco",Justice,5,french house;electronic;rock;pop;disco
2011-10-28T21:56:07Z,Black & Brown,Black Milk & Danny Brown,1,hip hop;detroit hip hop;hardcore hip hop
2011-10-31T22:47:05Z,I Wish My Brother Rob Was Here,Milo,1,hip hop;conscious rap
2011-11-01T07:32:23Z,Abhorrent Evolution,Oblivionized,1,grindcore;technical death metal
2011-11-02T21:20:21Z,Lulu,Lou Reed and Metallica,6,spoken word post-avant-art-thrash-core
2011-11-03T14:31:07Z,Live Music,The Strange Boys,7,
2011-11-04T06:26:21Z,LiveLoveA$AP,ASAP Rocky,8,hip hop;west coast hip hop;southern hip hop;east coast hip hop;lo-fi hip hop;psychedelic hip hop;every friggin' kind out there what the fuck this is crazy!
2011-11-06T10:50:41Z,All Things Will Unwind,My Brightest Diamond,6,athsmatic kitty
2011-11-07T15:06:27Z,Transmission Zero,Ghoul,8,thrash;death metal;crossover thrash;surf rock
2011-11-08T18:39:21Z,Crazy Clown Time,David Lynch,5,lo-fi;electropop;trip hop;blues rock
2011-11-09T06:48:36Z,Camp,Childish Gambino,2,hip hop;pop rap
2011-11-09T15:43:20Z,Parallax,Atlas Sound,6,rock
2011-11-10T15:15:40Z,The Lack Long After,Pianos Become the Teeth,6,post-rock;screamo
2011-11-15T15:56:19Z,Take Care,Drake,6,pop rap;r&b
2011-11-17T08:20:18Z,Radiant Door,Crystal Stilts,6,psych rock;experimental;indie rock
2011-11-17T10:20:47Z,King Krule,King Krule,7,"singer-songwriter,"
2011-11-18T15:02:08Z,Ambition,Wale,4,hip hop;pop rap
2011-11-18T15:19:43Z,Blue Slide Park,Mac Miller,5,hip hop;pop rap
2011-11-21T15:10:32Z,Carbon-Based Anatomy,Cynic,7,progressive rock;experimental rock;ambient
2011-11-22T14:15:06Z,50 Words For Snow,Kate Bush,7,art pop;progressive pop;experimental pop;chamber pop
2011-11-23T16:58:35Z,Outer Isolation,Vektor,1,thrash metal;progressive metal;technical thrash metal
2011-11-24T16:49:50Z,λόγος,The Log.Os,8,neo soul;downtempo;wonky;experimental;electronica
2011-11-28T20:52:23Z,The Spits,The Spits,1,garage rock;punk rock;noise rock
2011-11-29T16:21:13Z,Radioactive,Yelawolf,5,pop rap;southern hip hop
2011-11-30T17:18:10Z,Self-Titled,Red Horse,6,free improvisational;noise;free jazz?
2011-12-01T14:00:40Z,Replica,Oneohtrix Point Never,8,ambient music;drone;collage music;plunderphonics
2011-12-02T17:07:14Z,Howl of the Lonely Crowd,Comet Gain,7,
2011-12-05T15:53:32Z,El Camino,The Black Keys,1,blues rock;garage rock
2011-12-06T21:49:51Z,Glimmer,Jacaszek,1,
2011-12-07T17:19:34Z,Spiritual State,Nujabes,6,jazz rap;instrumental hip hop;conscious hip hop;jazz
2011-12-08T17:15:50Z,Dwellings,Cormorant,8,progressive metal;black metal;melodic death metal
2011-12-15T22:58:39Z,Humor Risk,Cass McCombs,6,"singer-songwriter;indie rock;indie folk,"
2012-01-02T16:34:29Z,Purple Naked Ladies,The Internet,4,
2012-01-03T17:51:36Z,Let's Go Eat the Factory,Guided by Voices,6,indie rock;experimental rock;art rock;psych rock;lo-fi
2012-01-04T21:40:11Z,Echoes of Silence,The Weeknd,8,experimental r&b;contemporary r&b;pop
2012-01-05T18:27:37Z,Idiom Wind,Zammuto,7,art pop;glitch;noise pop;experimental folk
2012-01-06T16:25:41Z,Les voyages de l'âme,Alcest,5,black metal;shoegaze;post-rock;blackgaze
2012-01-10T15:37:24Z,Come Sunday,Charlie Haden & Hank Jones,6,jazz;sprituals;traditional
2012-01-12T16:23:46Z,Amongst These Splintered Minds...,The Act of Estimating as Worthless,7,indie folk
2012-01-16T15:35:08Z,Attack On Memory,Cloud Nothings,8,indie rock;post-hardcore;punk;pop punk
2012-01-17T14:28:05Z,Habits & Contradictions,Schoolboy Q,5,hip hop;pop rap;west coast hip hop
2012-01-18T15:18:06Z,Tape One,Young Fathers,8,hip hop;reggae;conscious hip hop;abstract hip hop;african music;lo-fi
2012-01-19T16:53:05Z,The Lion's Roar,First  Aid Kit,7,indie folk;singer-songwriter
2012-01-23T15:26:39Z,MU.ZZ.LE,Gonjasufi,6,hip hop;downtempo;trip hop;psychedelic;lo-fi;electronica;soul
2012-01-24T15:57:01Z,Something,Chairlift,7,art pop;new wave;synth pop;post-punk
2012-01-25T16:01:52Z,Resolution,Lamb of God,3,metalcore;thrash metal;groove metal
2012-01-26T16:39:26Z,The Horror,Pop. 1280,7,noise rock;post-punk;no wave
2012-01-27T17:21:11Z,Nehru Jackets,Heems,8,experimental hip hop;abstract hip hop
2012-01-30T15:49:32Z,Born to Die,Lana Del Rey,3,baroque pop
2012-01-31T15:34:01Z,Given to the Wild,The Maccabees,5,indie rock;art rock
2012-02-02T16:48:52Z,fin,John Talabot,8,house;microhouse;electronica
2012-02-03T17:07:59Z,I.V.,Loma Prieta,8,screamo;hardcore punk;powerviolence
2012-02-06T16:32:26Z,Paralytic Stalks,of Montreal,7,experimental pop;psych pop;psych rock;baroque pop;sound collage
2012-02-07T16:27:27Z,Old Ideas,Leonard Cohen,5,singer-songwriter;contemporary folk
2012-02-08T17:43:59Z,Onwards To The Wall,A Place To Bury Strangers,5,post-punk;shoegaze;noise rock
2012-02-08T19:11:11Z,Vacation,Shlohmo,7,future garage;glitch hop;wonky;footwork
2012-02-09T23:45:44Z,Tramp,Sharon Van Etten,7,singer-songwriter;indie folk
2012-02-13T15:35:08Z,Portico Quartet,Portico Quartet,8,electronica;jazz;nu jazz;ambient;downtempo;idm
2012-02-14T16:02:28Z,"Angels of Darkness, Demons of Light II",Earth,6,ambient;drone;psychedelic rock
2012-02-15T17:22:55Z,Kindred,Burial,8,dubstep;future garage;experimental
2012-02-16T17:08:16Z,Young & Old,Tennis,4,indie pop;twee pop
